作业流水号,号牌号码,车架号,保险单开始时间,保险单结束时间,号牌种类,检测站
2018071001661,粤A893TY,LJ16AA23357014795,2017/7/26 0:00,2018/7/25 0:00,小型汽车,广州怡乐机动车检测有限公司
2018071001662,粤AQ7516,JN1CAUA32U0/059331,2018/5/23 0:00,2019/5/22 0:00,小型汽车,广州市番禺区番安机动车检测站
2018071001663,粤A2G3N6,LFMAPE2C3A0189116,2017/7/17 0:00,2018/7/16 0:00,小型汽车,增城市安迅机动车检测有限公司
2018071001664,粤A404P5,LHGGD868982505295,2018/7/6 0:00,2019/7/5 0:00,小型汽车,广州保兴车辆检测科技有限公司
2018071001665,粤AR862E,LFMBE84B880092035,2018/7/9 0:00,2019/7/8 0:00,小型汽车,广州市嘉保车辆检测技术有限公司
2018071001666,粤A91650,LZYTEGC63B1049833,2018/1/16 0:00,2019/1/15 0:00,大型汽车,广州八镒汽车科技有限公司
2018071001667,粤A2WS53,LSCBBN3E6HG607889,2017/7/11 0:00,2018/7/10 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071001668,粤AD7S83,LVCP2CWA8BB008511,2017/7/27 0:00,2018/7/26 0:00,小型汽车,广州市亚飞豪健机动车检测有限公司
2018071001669,粤ALC316,LTVBG864950041764,2017/8/12 0:00,2018/8/11 0:00,小型汽车,广州华工机动车检测技术有限公司
2018071001670,粤AK7835,LGAX1AG3XC1010418,2017/7/31 0:00,2018/7/30 0:00,大型汽车,广州骏朋汽车检测服务有限公司
2018071001671,粤XWB708,LTVBJ874560010741,2017/7/23 0:00,2018/7/22 0:00,小型汽车,广州市桥北机动车辆检测有限公司
2018071001672,粤AW5Y79,LGBH12E05CY264124,2017/9/27 0:00,2018/9/26 0:00,小型汽车,广州市南英机动车辆检测有限公司
2018071001673,粤A6DL21,LJ11KAA19EC008501,2018/7/6 0:00,2019/7/5 0:00,小型汽车,广东大路机动车检测有限公司
2018071001674,粤AD61F9,LBEEFAGA2DX337529,2017/9/23 0:00,2018/9/22 0:00,小型汽车,广州市天河安利汽车检测中心
2018071001675,粤A561WD,WAUCKD8RXBA111151,2017/7/24 0:00,2018/7/23 0:00,小型汽车,广州科韵汽车检测有限公司
2018071001676,粤AFZ990,LVSFBFAC64F019285,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071001677,粤CR3389,LGG8E2D1XFZ460003,2018/5/20 0:00,2019/5/19 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071001678,粤A346P6,LS4AAB3RX8A075190,2018/7/8 0:00,2019/7/7 0:00,小型汽车,广州市必高飘峰汽车检测站
2018071001679,粤A82Q82,LHGRB185X72021305,2017/8/9 0:00,2018/8/8 0:00,小型汽车,广东广物汽贸机动车检测服务有限公司
2018071001680,粤AS9759,LDT1AC4K6FG000143,2017/7/28 0:00,2018/7/27 0:00,大型汽车,广州市南英机动车辆检测有限公司
2018071001681,粤AF246S,LFV2A2159A3046091,2018/7/7 0:00,2019/7/6 0:00,小型汽车,广州穗安环保科技发展有限公司
2018071001682,粤A360A9,LVVDA11A27D181672,2017/7/19 0:00,2018/7/18 0:00,小型汽车,广州市外运机动车检测有限公司
2018071001683,粤AH6581,LKLR1FSF7BB571538,2017/9/20 0:00,2018/9/19 0:00,大型汽车,广东粤港机动车检测有限公司
2018071001684,粤S5G1N6,LJ16AA33577017084,,,小型汽车,广州市白云区粤翔机动车检测站
2018071001685,粤AE7Z08,LHGGM2659B2068618,2017/9/1 0:00,2018/8/31 0:00,小型汽车,广东粤旅汽车检测有限公司检测站
2018071001686,粤AD79Y5,LEFYECG29GHN51439,2018/7/12 0:00,2019/7/11 0:00,小型汽车,广东粤旅汽车检测有限公司检测站
2018071001687,粤A2BA51,LZWDAAGAXHE415440,2018/4/3 0:00,2019/4/2 0:00,小型汽车,广州市黄埔姬堂机动车检测站
2018071001688,粤ARM910,LHGGD183972022624,2017/8/6 0:00,2018/8/5 0:00,小型汽车,增城市新塘机动车检测站
2018071001689,粤AH916K,LSGGF53X0AH007069,2017/8/16 0:00,2018/8/15 0:00,小型汽车,广州市天河安利汽车检测中心
2018071001690,粤WL2153,LGBC1AC033R001924,2017/9/2 0:00,2018/9/1 0:00,小型汽车,广州市普安机动车检测有限公司
2018071001691,鲁BQR855,LGBG22E089Y187850,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州市检安机动车检测有限公司
2018071001692,粤AG332K,LFMAPE2C090102008,2018/7/15 0:00,2019/7/14 0:00,小型汽车,广东粤旅汽车检测有限公司检测站
2018071001693,粤AX700K,WDCBB8CB5BA718519,2017/9/25 0:00,2018/9/24 0:00,小型汽车,增城市新塘机动车检测站
2018071001694,粤RZ8763,LFMAU92A180007387,2017/7/26 0:00,2018/7/25 0:00,小型汽车,广州市龙口汽车检测有限公司
2018071001695,粤AF7425,LA86G0LK0AA201148,2017/7/22 0:00,2018/7/21 0:00,大型汽车,广州市安行机动车检测服务有限公司
2018071001696,粤A633VZ,LSGPB53R7AS106083,2017/7/24 0:00,2018/7/23 0:00,小型汽车,广州从化河东南汽车检测站有限公司
2018071001697,粤AH9896,LGAX4C357B3004251,,,大型汽车,广州八镒汽车科技有限公司
2018071001698,粤A143MS,LGBG22E08BY008843,2017/7/26 0:00,2018/7/25 0:00,小型汽车,广州大昌行喜龙机动车检测有限公司
2018071001699,粤VJ1770,LFMBE22D8A0220488,2018/4/27 0:00,2019/4/26 0:00,小型汽车,广州市集威汽车检测有限公司
2018071001700,粤A0C5Z5,LGXCE6DB2H0102802,2018/6/14 0:00,2019/6/13 0:00,小型汽车,广州市交海汽车检测有限公司
2018071001701,粤ARF661,LZWACAGA672052891,2017/8/17 0:00,2018/8/16 0:00,小型汽车,广州市嘉保车辆检测技术有限公司
2018071001702,粤AX6M57,LFMARE2C7A0276169,2017/8/11 0:00,2018/8/10 0:00,小型汽车,广州隆新汽车检测服务有限公司
2018071001703,粤AJL045437,LWLDMA5G5JL045437,2018/6/6 0:00,2019/6/5 0:00,小型汽车,广州市升平机动车检测有限公司
2018071001704,粤AC29J0,JM7CR10F790311456,2018/6/19 0:00,2019/6/18 0:00,小型汽车,广州市外运机动车检测有限公司
2018071001705,粤A0643D,LVGBH40K29G312879,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广东东盛机动车检测站
2018071001706,粤A153A2,LFMARE0CX70004680,2017/7/25 0:00,2018/7/24 0:00,小型汽车,广东东盛机动车检测站
2018071001707,粤A406YA,LSGGA54X8AH230084,2017/7/25 0:00,2018/7/24 0:00,小型汽车,广东东盛机动车检测站
2018071001708,粤A3613D,LVGBE40KX9G430610,2017/8/29 0:00,2018/8/28 0:00,小型汽车,广东东盛机动车检测站
2018071001709,粤AH42L8,LVSHCAME08F317617,2018/1/13 0:00,2019/1/12 0:00,小型汽车,广东东盛机动车检测站
2018071001710,粤AC782U,LHGCP1686B8008061,2017/7/25 0:00,2018/7/24 0:00,小型汽车,广州市龙口汽车检测有限公司
2018071001711,粤A86365,LSYHGABF28K015329,2018/7/7 0:00,2019/7/6 0:00,大型汽车,广州华工机动车检测技术有限公司
2018071001712,粤A59S81,LGBK22E79BY858956,2018/7/4 0:00,2019/7/3 0:00,小型汽车,广州市诚安汽车科技有限公司
2018071001713,粤A176EP,LJNMFE2G49N055052,2018/1/29 0:00,2019/1/28 0:00,小型汽车,广州市园林水荫机动车检测站
2018071001714,吉AAX295,LVHRE476185028665,2018/1/1 0:00,2018/12/31 0:00,小型汽车,广州市安运机动车检测站有限公司
2018071001715,粤AG169L,LGBF1DE04AR268627,,,小型汽车,广州隆新汽车检测服务有限公司
2018071001716,粤A23S76,LGBK22E7XAY122980,2017/7/14 0:00,2018/7/13 0:00,小型汽车,广州市诚安汽车科技有限公司
2018071001717,粤A7E6G9,LEFAFCA10HHN45237,2018/6/26 0:00,2019/6/25 0:00,小型汽车,广州市巽安汽车检测服务有限公司
2018071001718,粤G25Z45,LGBH12E07CY255179,2017/9/28 0:00,2018/9/27 0:00,小型汽车,广州市必高飘峰汽车检测站
2018071001719,粤A799HX,LGBH12E06AY130929,2017/9/7 0:00,2018/9/6 0:00,小型汽车,广州市京晟机动车检测有限公司
2018071001720,粤A2Z315,LGG193GA13P006060,2017/10/23 0:00,2018/10/22 0:00,小型汽车,广州市城市客运交通技术咨询服务中心
2018071001721,粤A2U7D1,JTHKR5BH6C2094505,2017/12/17 0:00,2018/12/16 0:00,小型汽车,增城市安迅机动车检测有限公司
2018071001722,粤AQ173R,LGBF1DE088R115419,2017/7/30 0:00,2018/7/29 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071001723,粤AD92L4,LGXC76C3XG0092099,2017/7/16 0:00,2018/7/15 0:00,小型汽车,广州嘉德机动车检测服务有限公司
2018071001724,粤A660G3,LZL10TCC9DHE06651,2017/8/13 0:00,2018/8/12 0:00,普通摩托车,广州市增城区摩托车检测站
2018071001725,粤A8H6V7,LSCABN3E1HE775138,2017/7/15 0:00,2018/7/14 0:00,小型汽车,广东粤港机动车检测有限公司
2018071001726,粤AY305Y,LSGPC52U5AF094950,2017/7/20 0:00,2018/7/19 0:00,小型汽车,广州市途进汽车检测有限公司
2018071001727,粤AG263W,LFMJW30F290015814,2017/10/16 0:00,2018/10/15 0:00,小型汽车,广州骏欣机动车检测有限公司
2018071001728,粤E84R27,LZWACAGA897110666,2018/7/11 0:00,2019/7/10 0:00,小型汽车,广州市冠新机动车安全检测有限公司
2018071001729,粤PB8577,LHGGM255392056394,2017/9/7 0:00,2018/9/6 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071001730,粤AL1S45,LVHFA163875016158,2017/10/14 0:00,2018/10/13 0:00,小型汽车,广州市雄逸机动车检测有限公司
2018071001731,粤AA09T9,LVZMN25BXDA541179,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州市诚安汽车科技有限公司
2018071001732,粤A173R6,LGBH1AE0X8Y064681,2017/8/27 0:00,2018/8/26 0:00,小型汽车,广州骏欣机动车检测有限公司
2018071001733,粤A8FY07,LS4ASB3E3EG637546,2017/7/31 0:00,2018/7/30 0:00,小型汽车,广州市安运机动车检测站有限公司
2018071001734,粤A178L6,LVHRE487285009226,2018/6/28 0:00,2019/6/27 0:00,小型汽车,广州骏欣机动车检测有限公司
2018071001735,粤A361BG,LFMARE2C590212496,2018/5/2 0:00,2019/5/1 0:00,小型汽车,广州市广骏信源汽车检测服务有限公司
2018071001736,粤AJ7Q24,LVSHFSAF2CF022506,2017/7/19 0:00,2018/7/18 0:00,小型汽车,广州交通集团汽车检测服务有限公司
2018071001737,粤X52M99,LVSHBFAFXAF106752,2017/8/14 0:00,2018/8/13 0:00,小型汽车,广州市冠新机动车安全检测有限公司
2018071001738,粤A91281,LKLR1DSC2AC545786,2017/9/20 0:00,2018/9/19 0:00,大型汽车,广州市安骏机动车检测服务有限公司
2018071001739,粤A309VV,LGBF1AE00AR218032,2017/7/20 0:00,2018/7/19 0:00,小型汽车,广东东盛机动车检测站
2018071001740,粤A030P6,LGB2LAA388Z011696,2018/5/12 0:00,2019/5/11 0:00,小型汽车,广东粤港机动车检测有限公司
2018071001741,粤A1LM01,LFVAA11G913085819,2018/5/6 0:00,2019/5/5 0:00,小型汽车,广州市安骏机动车检测服务有限公司
2018071001742,粤AK82S3,JMYLRNA4W6Z000344,2017/7/25 0:00,2018/7/24 0:00,小型汽车,广州市大康机动车检测有限公司
2018071001743,粤AR9T55,LFMARE2C1C0361348,2017/7/30 0:00,2018/7/29 0:00,小型汽车,广州市必高飘峰汽车检测站
2018071001744,粤A057P2,LJ16AA33887001379,2017/12/26 0:00,2018/12/25 0:00,小型汽车,广州市安行机动车检测服务有限公司
2018071001745,粤A660UR,LJDGAA226B0219773,2017/7/24 0:00,2018/7/23 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071001746,粤A585HT,LS4AAB3R8AA532696,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州市安运机动车检测站有限公司
2018071001747,粤MJ8778,LVVDA11A36D144046,2017/9/2 0:00,2018/9/1 0:00,小型汽车,增城市安迅机动车检测有限公司
2018071001748,粤AHA147750,LGDCH91G3HA147750,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广东粤旅汽车检测有限公司检测站
2018071001749,粤AJ0PYS015,LA9BSN402J0PYS015,2018/7/11 0:00,2019/7/10 0:00,挂车,广州穗安环保科技发展有限公司
2018071001750,粤APL368,LDC923X2560352117,2017/7/31 0:00,2018/7/30 0:00,小型汽车,广州嘉德机动车检测服务有限公司
2018071001751,粤A250JD,LHGGM2652A2062710,2017/7/31 0:00,2018/7/30 0:00,小型汽车,广州市城市客运交通技术咨询服务中心
2018071001752,粤AUK678,LTVBR22E850676335,2017/7/14 0:00,2018/7/13 0:00,小型汽车,广州市集威汽车检测有限公司
2018071001753,粤S9CN32,LVSFBFAC46F090987,2018/7/9 0:00,2019/7/8 0:00,小型汽车,广州市安骏机动车检测服务有限公司
2018071001754,粤AJE029493,LVBV3JBB4JE029493,2018/6/6 0:00,2019/6/5 0:00,小型汽车,广州市升平机动车检测有限公司
2018071001755,粤AN9300,LFNA8LCE9EAD86274,2017/7/12 0:00,2018/7/11 0:00,大型汽车,广州市升平机动车检测有限公司
2018071001756,粤AE10R0,LVBV3JBB6GJ043329,2018/5/2 0:00,2019/5/1 0:00,小型汽车,广州市广骏信源汽车检测服务有限公司
2018071001757,粤AM4787,LZ5N2CD38DB015105,,,大型汽车,广州市荔江机动车检测有限公司
2018071001758,粤AG097J,15853,,,小型汽车,广州大昌行喜龙机动车检测有限公司
2018071001759,粤A79X63,LGWEF3A509B070638,2017/11/16 0:00,2018/11/15 0:00,小型汽车,广州市亚飞豪健机动车检测有限公司
2018071001760,粤AF0380,LFNABUKPXAAD83498,2017/8/11 0:00,2018/8/10 0:00,大型汽车,广州市桥北机动车辆检测有限公司
2018071001761,粤A9W1T7,LJNMDV1E7CN037643,2018/7/9 0:00,2019/7/9 0:00,小型汽车,广州市交海汽车检测有限公司
2018071001762,粤A40R95,LJNTGU2GX8N025135,2017/8/22 0:00,2018/8/21 0:00,小型汽车,广州从化河东南汽车检测站有限公司
2018071001763,粤AWW863,LFMAP22C270003993,2018/7/8 0:00,2019/7/7 0:00,小型汽车,广州大昌行喜龙机动车检测有限公司
2018071001764,粤F9J425,LJEPCKLJ6DA110034,2017/7/21 0:00,2018/7/20 0:00,普通摩托车,广州市增城区摩托车检测站
2018071001765,粤A862VY,LFMAPE2C5A0184256,2017/7/15 0:00,2018/7/14 0:00,小型汽车,广州市安华机动车检测有限公司
2018071001766,粤AR775V,LFMBEC4D0C0110010,2018/6/30 0:00,2019/6/29 0:00,小型汽车,广州保兴车辆检测科技有限公司
2018071001767,粤A98W68,LS4BDB3D49F051049,2017/7/19 0:00,2018/7/18 0:00,小型汽车,广州市广骏信源汽车检测服务有限公司
2018071001768,粤A08W92,LGBG12E028Y585671,2017/7/18 0:00,2018/7/17 0:00,小型汽车,广州市大康机动车检测有限公司
2018071001769,粤AQC799,LSVFA49J332024129,2018/7/2 0:00,2019/7/1 0:00,小型汽车,广州市顺锦汽车检测服务有限公司
2018071001770,粤MBU192,LDC953L30C1079857,2018/6/13 0:00,2019/6/12 0:00,小型汽车,广东泰通机动车检测有限公司
2018071001771,粤AW260Q,LSGPC52U9AF183064,2018/7/5 0:00,2019/7/4 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071001772,粤A26S70,LBEHDAFB1AY447930,2017/8/7 0:00,2018/8/6 0:00,小型汽车,广州从速机动车服务有限公司
2018071001773,粤AD3G62,LZWACAGA1B7073420,2018/7/9 0:00,2019/7/8 0:00,小型汽车,广州市润通汽车检测服务有限公司
2018071001774,粤A7H2A8,LF0HFCS23G0031639,2017/8/11 0:00,2018/8/10 0:00,小型汽车,广州市龙口汽车检测有限公司
2018071001775,粤AH831F,LVHFA168395018740,2017/8/12 0:00,2018/8/11 0:00,小型汽车,广州穗安环保科技发展有限公司
2018071001776,粤AN127G,LVGDL26R1BG004527,2017/8/30 0:00,2018/8/29 0:00,小型汽车,广州市交海汽车检测有限公司
2018071001777,粤H49H58,LS4ASM2E0GF065762,2017/7/14 0:00,2018/7/13 0:00,小型汽车,广州市必高飘峰汽车检测站
2018071001778,粤R79G41,LFV3B28R4A3005023,2017/11/17 0:00,2018/11/16 0:00,小型汽车,广州市白云区粤翔机动车检测站
2018071001779,粤AJ3207157,LJ13R4DJ2J3207157,2018/7/10 0:00,2019/7/9 0:00,大型汽车,广州市桥北机动车辆检测有限公司
2018071001780,粤AG8Y46,LSGGA53X4AH160102,2017/12/27 0:00,2018/12/26 0:00,小型汽车,广州科韵汽车检测有限公司
2018071001781,闽AS578S,L2CCA2BG5GG329610,2017/8/13 0:00,2018/8/12 0:00,小型汽车,广州隆新汽车检测服务有限公司
2018071001782,粤AQ9325,LZYTCGD6671012013,2018/6/30 0:00,2019/6/29 0:00,大型汽车,广州番骏机动车检测有限公司
2018071001783,粤A6ED41,LNYABAA34DV902598,2018/6/23 0:00,2019/6/22 0:00,小型汽车,广州市外运机动车检测有限公司
2018071001784,粤ALF282,LGG7B2D14EZ059209,2018/6/24 0:00,2019/6/23 0:00,小型汽车,广东广物汽贸机动车检测服务有限公司
2018071001785,粤AE5M71,LFMAP22C8B0261119,2017/8/26 0:00,2018/8/25 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071001786,粤AD50Q5,LGDCH91G1EA126763,2018/7/6 0:00,2019/7/5 0:00,小型汽车,广州市白云区粤翔机动车检测站
2018071001787,粤A3R3A0,LEFYFCG26BHN15200,2018/7/9 0:00,2019/7/8 0:00,小型汽车,广州市番鸿汽车检测有限公司
2018071001788,粤G86P05,LS4ASB3E6GA653245,2017/7/14 0:00,2018/7/13 0:00,小型汽车,广东广物汽贸机动车检测服务有限公司
2018071001789,粤A628D1,LSCAC13R07E070211,2018/5/2 0:00,2019/5/1 0:00,小型汽车,广州市广骏信源汽车检测服务有限公司
2018071001790,粤AP0688,LFNAFRKP6DAC33152,2017/7/17 0:00,2018/7/16 0:00,大型汽车,广州市升平机动车检测有限公司
2018071001791,粤A863WA,LFPM4ACC1A1E32077,2017/9/29 0:00,2018/9/28 0:00,小型汽车,广州华工机动车检测技术有限公司
2018071001792,粤ALJ671,JZS133-7019626,2018/1/11 0:00,2019/1/10 0:00,小型汽车,广州市安华机动车检测有限公司
2018071001793,粤A4113F,LGWCAC1A0AC005063,2017/7/16 0:00,2018/7/15 0:00,小型汽车,广州市黄埔姬堂机动车检测站
2018071001794,粤AR9Y19,LSGPC52U2CF119452,2017/8/6 0:00,2018/8/5 0:00,小型汽车,广东广物汽贸机动车检测服务有限公司
2018071001795,粤A9E9J6,LVMZ1A1B1HB031732,2018/7/1 0:00,2019/6/30 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071001796,粤AF486D,JF1SJ94D6DG060035,,,小型汽车,广州华工机动车检测技术有限公司
2018071001797,粤AM01A8,WAURGB4H0CN019179,2018/4/17 0:00,2019/4/16 0:00,小型汽车,广州市园林水荫机动车检测站
2018071001798,粤AWR700,LFV2A11G263078576,2017/9/1 0:00,2018/8/31 0:00,小型汽车,广州市京晟机动车检测有限公司
2018071001799,粤A4832M,LJNMDV1E6AN038828,2017/7/16 0:00,2018/7/15 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071001800,粤Y04U66,LJDAAA22660213189,2017/8/30 0:00,2018/8/29 0:00,小型汽车,广州市诚安汽车科技有限公司
2018071001801,粤AP3V75,LS4AAB3RXAA578031,2017/7/12 0:00,2018/7/11 0:00,小型汽车,广州市安运机动车检测站有限公司
2018071001802,粤AD10X0,LEFYECG21GHN42735,2018/6/4 0:00,2019/6/3 0:00,小型汽车,广州市安行机动车检测服务有限公司
2018071001803,粤A25R40,LJNTGU2GX8N024891,2017/8/22 0:00,2018/8/21 0:00,小型汽车,广州从化河东南汽车检测站有限公司
2018071001804,粤A623P8,LFV3A23C183025620,2018/7/2 0:00,2019/7/1 0:00,小型汽车,广州科韵汽车检测有限公司
2018071001805,粤QHX300,LFV2B11J773062979,2017/8/6 0:00,2018/8/5 0:00,小型汽车,广州市诚安汽车科技有限公司
2018071001806,粤AC41W2,LDC931L2390976249,2017/9/25 0:00,2018/9/24 0:00,小型汽车,广州市翔龙机动车检测有限公司
2018071001807,粤A9015Z,SALVA2BGXCH661011,,,小型汽车,广州骏欣机动车检测有限公司
2018071001808,粤A6E3L9,LEFYFCG22HHN45626,2017/7/15 0:00,2018/7/14 0:00,小型汽车,广州市龙口汽车检测有限公司
2018071001809,粤A382G0,LWBTCG1G2C1044580,2017/11/13 0:00,2018/11/12 0:00,普通摩托车,广州市增城区摩托车检测站
2018071001810,粤AV0452,LA83J1LUXFA300370,2017/7/20 0:00,2018/7/19 0:00,大型汽车,广州市城市客运交通技术咨询服务中心
2018071001811,粤A80348,LGZ4KY0F8B0001070,2018/1/9 0:00,2019/1/8 0:00,大型汽车,广州交通集团汽车检测服务有限公司
2018071001812,粤AD7R52,LZWACAGA3B6070718,2018/7/8 0:00,2019/7/7 0:00,小型汽车,广州市南英机动车辆检测有限公司
2018071001813,粤AL2713,LFNA08CF193C00914,2018/1/26 0:00,2019/1/25 0:00,大型汽车,广州市安骏机动车检测服务有限公司
2018071001814,粤A278J5,LWBPCJ3A1G1010952,2017/9/1 0:00,2018/8/31 0:00,普通摩托车,广州从化小海摩托车检测站有限公司
2018071001815,粤A8659P,LFMAPE2C2A0196963,2017/7/13 0:00,2018/7/12 0:00,小型汽车,广州市荔江机动车检测有限公司
2018071001816,鲁Q2013M,LVVDB11B9AD531120,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州市冠新机动车安全检测有限公司
2018071001817,粤AS5P16,LFMJW36F4C0160481,2017/8/20 0:00,2018/8/19 0:00,小型汽车,广州骏欣机动车检测有限公司
2018071001818,粤A2225M,LGBH1AE039Y094154,2017/8/12 0:00,2018/8/11 0:00,小型汽车,广州交通集团汽车检测服务有限公司
2018071001819,粤AQ9339,LKLR1FSEX7B001421,2017/7/28 0:00,2018/7/27 0:00,大型汽车,广州骏朋汽车检测服务有限公司
2018071001820,粤AL2538,LGZ4KY0F3C0001205,2018/1/1 0:00,2018/12/31 0:00,大型汽车,广州市安运机动车检测站有限公司
2018071001821,粤AQK617,LSGSJ52N74Y015098,2018/6/30 0:00,2019/6/29 0:00,小型汽车,广州市嘉保车辆检测技术有限公司
2018071001822,粤A9236,LFV2A11G2B3524137,2017/7/26 0:00,2018/7/25 0:00,教练汽车,广州番骏机动车检测有限公司
2018071001823,粤A781BA,LZWACAGA197142200,2017/8/26 0:00,2018/8/25 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071001824,粤A96Z82,LD3TGJ5K781152366,2017/8/31 0:00,2018/8/30 0:00,普通摩托车,广州从化小海摩托车检测站有限公司
2018071001825,粤VK7578,LDNC78YH120053393,2018/1/25 0:00,2019/1/24 0:00,小型汽车,广东大路机动车检测有限公司
2018071001826,粤A4B8V0,LGBF1AE00BR045498,2017/7/29 0:00,2018/7/28 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071001827,粤AS290V,LGBH12E0XCY252258,2017/7/25 0:00,2018/7/24 0:00,小型汽车,广州市亚飞豪健机动车检测有限公司
2018071001828,粤A349Q8,LFMBE22D280134605,2017/7/19 0:00,2018/7/18 0:00,小型汽车,广州穗安环保科技发展有限公司
2018071001829,粤A6QR11,LGWCBD194FB005511,2018/6/25 0:00,2019/6/24 0:00,小型汽车,广州市嘉保车辆检测技术有限公司
2018071001830,粤A8C052,LHGRA685032014406,2018/1/1 0:00,2018/12/31 0:00,小型汽车,广州市黄埔姬堂机动车检测站
2018071001831,粤AS255M,WDCGG8BB9CF716169,2017/7/11 0:00,2018/7/10 0:00,小型汽车,广州市外运机动车检测有限公司
2018071001832,粤A903A3,LVSFFSAF77F001731,2018/1/1 0:00,2018/12/31 0:00,小型汽车,广州市亚飞豪健机动车检测有限公司
2018071001833,粤AJL518783,LGGR3AG36JL518783,2018/7/10 0:00,2019/7/9 0:00,大型汽车,广东粤旅汽车检测有限公司检测站
2018071001834,粤A6FE10,LGG7B2D17EZ028715,2018/3/20 0:00,2019/3/19 0:00,小型汽车,广州市龙口汽车检测有限公司
2018071001835,粤A336VX,LHGRB3866A8038627,2017/7/27 0:00,2018/7/26 0:00,小型汽车,广州市外运机动车检测有限公司
2018071001836,粤AQ5X44,LFV2A11K873062372,2017/8/18 0:00,2018/8/17 0:00,小型汽车,广州市番通汽车检测有限公司
2018071001837,粤A6446Z,LVGBH40K6BG462046,2018/6/27 0:00,2019/6/26 0:00,小型汽车,广州科韵汽车检测有限公司
2018071001838,粤A980WB,LVGBH42K8AG391010,2017/7/24 0:00,2018/7/23 0:00,小型汽车,广州市必高飘峰汽车检测站
2018071001839,粤Y15P95,LJNMDV1L9BN046342,,,小型汽车,广州市京晟机动车检测有限公司
2018071001840,粤AWS032,LVVDB24B86D137004,2018/7/4 0:00,2019/7/3 0:00,小型汽车,广州市番禺区番安机动车检测站
2018071001841,粤AK7790,LGGR2A134CL603247,2017/7/17 0:00,2018/7/16 0:00,大型汽车,广州广保安车辆检测有限公司
2018071001842,粤AN1012,LZYTBTD23E1023993,,,大型汽车,广州市集威汽车检测有限公司
2018071001843,粤AD0X10,LS5A2ABEXBB056772,2017/8/2 0:00,2018/8/1 0:00,小型汽车,广州市雄逸机动车检测有限公司
2018071001844,粤A9Y6P3,LSCAB33R3GE629393,2018/7/6 0:00,2019/7/5 0:00,小型汽车,广州市番禺区番安机动车检测站
2018071001845,粤APQ088,LFV4A24F463016369,2018/2/4 0:00,2019/2/3 0:00,小型汽车,广州市白云区粤翔机动车检测站
2018071001846,粤A972FH,LVGBH40K1AG381924,2017/9/18 0:00,2018/9/17 0:00,小型汽车,广州市交海汽车检测有限公司
2018071001847,粤AX3T89,LSCAB33R1DE015082,2017/8/6 0:00,2018/8/5 0:00,小型汽车,广州市番鸿汽车检测有限公司
2018071001848,粤AJ8019489,LGAG3CV26J8019489,,,小型汽车,广州市番通汽车检测有限公司
2018071001849,粤AGH787,LTVBR22E240626013,2017/10/1 0:00,2018/9/30 0:00,小型汽车,广州市安行机动车检测服务有限公司
2018071001850,粤SN361V,LGB32AE35AZ008908,2017/7/12 0:00,2018/7/11 0:00,小型汽车,广州市嘉保车辆检测技术有限公司
2018071001851,粤A671N5,LSGTC52MX8Y100366,2017/10/12 0:00,2018/10/11 0:00,小型汽车,广州市必高飘峰汽车检测站
2018071001852,粤AB24V0,LJ11KBBD3G8016940,2018/6/24 0:00,2019/6/23 0:00,小型汽车,广东粤港机动车检测有限公司
2018071001853,粤A813VV,JTEBX3FJXAK023101,2017/7/21 0:00,2018/7/20 0:00,小型汽车,广东粤港机动车检测有限公司
2018071001854,粤A871VD,LFMAPE2C9B0302276,2017/8/13 0:00,2018/8/12 0:00,小型汽车,广州从速机动车服务有限公司
2018071001855,粤A9EX78,LHGRB3854E8005350,2018/7/1 0:00,2019/6/30 0:00,小型汽车,广州市番禺区番安机动车检测站
2018071001856,粤L20Q85,LS4ASE2E8GF063344,2017/8/23 0:00,2018/8/22 0:00,小型汽车,广州市集威汽车检测有限公司
2018071001857,粤A6ZV09,LSCBBN3E0HG611498,2018/6/20 0:00,2019/6/19 0:00,小型汽车,广州嘉德机动车检测服务有限公司
2018071001858,粤BD088R,SALGA3EF1EA163745,2018/5/31 0:00,2019/5/30 0:00,小型汽车,广州市途进汽车检测有限公司
2018071001859,粤AU886P,LFBME3086EJB01676,2018/1/1 0:00,2018/12/31 0:00,小型汽车,广州市安运机动车检测站有限公司
2018071001860,粤SE8M63,LHGRB184072011924,2017/7/11 0:00,2018/7/10 0:00,小型汽车,广州八镒汽车科技有限公司
